open,close
27.92,28.185
28.26,28.07
28.0,28.13
28.23,27.915
27.765,27.775
27.805,27.17
27.18,27.225
27.3,26.655
26.535,26.675
26.85,27.085
27.2,26.605
26.715,26.64
26.625,27.285
27.325,27.425
27.315,27.435
27.385,27.85
28.0,28.255
28.38,28.55
28.55,29.125
29.335,29.335
29.2,29.305
29.225,29.14
29.165,29.2925
29.26,28.84
28.68,28.83
28.53,28.465
28.255,28.415
28.61,28.715
28.65,28.525
28.65,28.69
28.765,28.345
28.495,28.525
28.43,28.455
28.465,28.475
28.565,28.435
28.595,29.13
29.2,28.85
28.805,29.055
28.605,28.9
28.915,29.06
28.98,28.705
28.82,28.9
28.975,29.2875
29.355,29.545
29.33,28.855
28.97,29.28
29.015,29.085
29.18,28.86
28.79,29.2025
29.21,29.32
29.42,29.695
29.845,29.915
30.0,30.25
29.65,30.0
30.175,30.29
30.315,30.42
30.275,30.07
30.22,30.19
30.425,30.935
31.0,31.24
31.265,31.095
31.17,31.205
31.33,31.18
31.285,31.5485
31.6,31.41
31.46,31.76
31.6592,32.035
32.0,31.775
31.885,32.065
32.015,31.915
32.02,32.125
32.075,32.075
31.845,31.76
31.54,31.68
32.105,32.13
31.895,31.815
31.935,31.735
31.605,31.57
31.63,31.73
31.305,31.665
31.52,31.17
31.175,31.51
31.705,32.52
32.83,33.055
32.735,32.71
32.91,32.225
32.27,32.985
32.975,32.8
33.095,33.015
33.0,33.5475
33.51,33.205
32.91,32.61
32.855,32.345
32.0,32.005
32.265,32.37
32.685,32.9
33.135,32.845
32.755,32.755
33.045,33.12
33.12,33.395
33.215,33.65
33.935,33.86
33.97,34.145
34.45,34.065
33.935,34.05
34.34,34.67
34.62,34.86
34.845,34.83
34.82,34.76
34.87,34.1
34.225,34.24
34.285,34.395
34.54,34.51
34.62,33.83
34.06,33.305
33.47,34.085
36.3,36.68
36.375,36.225
36.45,35.965
36.07,35.6445
36.135,36.74
36.75,37.115
37.11,36.985
36.83,36.4
36.18,36.095
36.385,36.47
36.295,36.4
36.14,36.465
36.545,36.32
36.29,35.925
35.655,35.37
35.49,35.355
35.29,35.145
35.18,35.33
35.21,35.3565
35.54,35.95
36.0325,35.985
36.035,35.94
35.45,35.08
35.045,35.48
35.365,35.59
35.69,35.26
35.85,35.8
35.71,36.07
36.125,36.025
36.185,35.785
35.84,36.22
